year,state,governor,party
1838-01-01,GA,George Rockingham Gilmer,Democrat-Whig
1838-01-01,IL,Thomas Carlin,Democrat
1838-01-01,IN,David Wallace,Whig
1838-01-01,KY,James Clark,Whig
1838-01-01,LA,Edward Douglass White,Whig
1838-01-01,ME,Edward Kent,Whig
1838-01-01,MD,Thomas Ward Veazey,Whig
1838-01-01,MA,Edward Everett,Whig
1838-01-01,MI,Stevens Thomson Mason,Democratic
1838-01-01,MS,Alexander Gallatin Mcnutt,Democratic
1838-01-01,MO,Lilburn W. Boggs,Democratic
1838-01-01,NH,Isaac Hill,Democratic
1838-01-01,NY,William Learned Marcy,Jeffersonian Republican
1838-01-01,NC,Edward Bishop Dudley,Whig
1838-01-01,OH,Wilson Shannon,Democratic
1838-01-01,PA,Joseph Ritner,Anti-Mason
1838-01-01,RI,William Sprague,Whig
1838-01-01,SC,Patrick Noble,Democrat
1838-01-01,TN,Newton Cannon,Whig
1838-01-01,VT,Silas H. Jension,Whig
1838-01-01,VA,David Campbell,Democrat
1837-01-01,AL,Arthur Pendleton Bagby,Democrat
1837-01-01,AR,James Sevier Conway,Democrat
1837-01-01,CT,Henry Waggaman Edwards,Democrat
1837-01-01,DE,Cornelius Parsons Comegys,Whig
1837-01-01,GA,George Rockingham Gilmer,Democrat-Whig
1837-01-01,IL,Joseph Duncan,Democrat
1837-01-01,IN,David Wallace,Whig
1837-01-01,KY,James Clark,Whig
1837-01-01,LA,Edward Douglass White,Whig
1837-01-01,ME,Robert Pinckney Dunlap,Democrat
1837-01-01,MD,Thomas Ward Veazey,Whig
1837-01-01,MA,Edward Everett,Whig
1837-01-01,MI,Stevens Thomson Mason,Democratic
1837-01-01,MS,Charles Lynch,"Democrat, later a Whig"
1837-01-01,MO,Lilburn W. Boggs,Democratic
1837-01-01,NH,Isaac Hill,Democratic
1837-01-01,NJ,Philemon Dickerson,Democratic
1837-01-01,NY,William Learned Marcy,Jeffersonian Republican
1837-01-01,NC,Edward Bishop Dudley,Whig
1837-01-01,OH,Joseph Vance,Whig
1837-01-01,PA,Joseph Ritner,Anti-Mason
1837-01-01,RI,John Brown Francis,Democratic-Republican
1837-01-01,SC,Pierce Mason Butler,Democrat
1837-01-01,TN,Newton Cannon,Whig
1837-01-01,VT,Silas H. Jension,Whig
1837-01-01,VA,David Campbell,Democrat
1836-01-01,AL,Clement Comer Clay,Democrat
1836-01-01,AR,James Sevier Conway,Democrat
1836-01-01,CT,Henry Waggaman Edwards,Democrat
1836-01-01,DE,Charles Polk,Federalist
1836-01-01,GA,William Schley,Union Democrat
1836-01-01,IL,Joseph Duncan,Democrat
1836-01-01,IN,Noah Noble,Whig
1836-01-01,KY,James Clark,Whig
1836-01-01,LA,Edward Douglass White,Whig
1836-01-01,ME,Robert Pinckney Dunlap,Democrat
1836-01-01,MD,Thomas Ward Veazey,Whig
1836-01-01,MA,Edward Everett,Whig
1836-01-01,MS,Charles Lynch,"Democrat, later a Whig"
1836-01-01,MO,Lilburn W. Boggs,Democratic
1836-01-01,NH,Isaac Hill,Democratic
1836-01-01,NJ,Philemon Dickerson,Democratic
1836-01-01,NY,William Learned Marcy,Jeffersonian Republican
1836-01-01,NC,Edward Bishop Dudley,Whig
1836-01-01,OH,Joseph Vance,Whig
1836-01-01,PA,Joseph Ritner,Anti-Mason
1836-01-01,RI,John Brown Francis,Democratic-Republican
1836-01-01,SC,Pierce Mason Butler,Democrat
1836-01-01,TN,Newton Cannon,Whig
1836-01-01,VT,Silas H. Jension,Whig
1836-01-01,VA,Wyndham Robertson,Whig
1835-01-01,AL,Clement Comer Clay,Democrat
1835-01-01,CT,Henry Waggaman Edwards,Democrat
1835-01-01,DE,Caleb Prew Bennett,Democrat
1835-01-01,GA,William Schley,Union Democrat
1835-01-01,IL,Joseph Duncan,Democrat
1835-01-01,IN,Noah Noble,Whig
1835-01-01,KY,James Turner Morehead,Whig
1835-01-01,LA,Edward Douglass White,Whig
1835-01-01,ME,Robert Pinckney Dunlap,Democrat
1835-01-01,MD,James Thomas,Whig
1835-01-01,MA,Samuel Turell Armstrong,Whig
1835-01-01,MS,John Anthony Quitman,Democratic
1835-01-01,MO,Daniel Dunklin,Democratic
1835-01-01,NH,William Badger,Democratic
1835-01-01,NJ,Peter Dumont Vroom,Democratic
1835-01-01,NY,William Learned Marcy,Jeffersonian Republican
1835-01-01,NC,Richard Dobbs Spaight,Democratic
1835-01-01,OH,Robert Lucas,Democratic
1835-01-01,PA,Joseph Ritner,Anti-Mason
1835-01-01,RI,John Brown Francis,Democratic-Republican
1835-01-01,SC,George McDuffie,Democrat
1835-01-01,TN,Newton Cannon,Whig
1835-01-01,VT,Silas H. Jension,Whig
1835-01-01,VA,Littleton Waller Tazewell,Whig
1834-01-01,AL,John Gayle,Democrat
1834-01-01,CT,Samuel Augustus Foot(e),Whig
1834-01-01,DE,Caleb Prew Bennett,Democrat
1834-01-01,GA,Wilson Lumpkin,Union Democrat
1834-01-01,IL,Joseph Duncan,Democrat
1834-01-01,IN,Noah Noble,Whig
1834-01-01,KY,James Turner Morehead,Whig
1834-01-01,LA,Andre Bienvenu Roman,Whig
1834-01-01,ME,Robert Pinckney Dunlap,Democrat
1834-01-01,MD,James Thomas,Whig
1834-01-01,MA,John Davis,"Republican, Whig"
1834-01-01,MS,Hiram George Runnels,Democratic
1834-01-01,MO,Daniel Dunklin,Democratic
1834-01-01,NH,William Badger,Democratic
1834-01-01,NJ,Peter Dumont Vroom,Democratic
1834-01-01,NY,William Learned Marcy,Jeffersonian Republican
1834-01-01,NC,David Lowry Swain,Whig
1834-01-01,OH,Robert Lucas,Democratic
1834-01-01,PA,George Wolf,"Democratic-Republican (Jeffersonian Democrat, or ""Family Party"")"
1834-01-01,RI,John Brown Francis,Democratic-Republican
1834-01-01,SC,George McDuffie,Democrat
1834-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1834-01-01,VT,William A. Palmer,Anti-Masonic
1834-01-01,VA,Littleton Waller Tazewell,Whig
1833-01-01,AL,John Gayle,Democrat
1833-01-01,CT,Henry Waggaman Edwards,Democrat
1833-01-01,DE,Caleb Prew Bennett,Democrat
1833-01-01,GA,Wilson Lumpkin,Union Democrat
1833-01-01,IL,John Reynolds,Democrat
1833-01-01,IN,Noah Noble,Whig
1833-01-01,KY,John Breathitt,Jacksonian Democrat
1833-01-01,LA,Andre Bienvenu Roman,Whig
1833-01-01,ME,Samuel Emerson Smith,Democratic-Republican
1833-01-01,MD,James Thomas,Whig
1833-01-01,MA,Levi Lincoln,Adams Republican
1833-01-01,MS,Hiram George Runnels,Democratic
1833-01-01,MO,Daniel Dunklin,Democratic
1833-01-01,NH,Samuel Dinsmoor,Democratic
1833-01-01,NJ,Peter Dumont Vroom,Democratic
1833-01-01,NY,William Learned Marcy,Jeffersonian Republican
1833-01-01,NC,David Lowry Swain,Whig
1833-01-01,OH,Robert Lucas,Democratic
1833-01-01,PA,George Wolf,"Democratic-Republican (Jeffersonian Democrat, or ""Family Party"")"
1833-01-01,RI,John Brown Francis,Democratic-Republican
1833-01-01,SC,Robert Young Hayne,Democrat
1833-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1833-01-01,VT,William A. Palmer,Anti-Masonic
1833-01-01,VA,John Buchanan Floyd,Democrat
1832-01-01,AL,John Gayle,Democrat
1832-01-01,CT,John Samuel Peters,National-Republican
1832-01-01,DE,David Hazzard,Democratic-Republican
1832-01-01,GA,Wilson Lumpkin,Union Democrat
1832-01-01,IL,John Reynolds,Democrat
1832-01-01,IN,Noah Noble,Whig
1832-01-01,KY,John Breathitt,Jacksonian Democrat
1832-01-01,LA,Andre Bienvenu Roman,Whig
1832-01-01,ME,Samuel Emerson Smith,Democratic-Republican
1832-01-01,MD,George Howard,Whig
1832-01-01,MA,Levi Lincoln,Adams Republican
1832-01-01,MS,Abram Marshall Scott,Democratic
1832-01-01,MO,Daniel Dunklin,Democratic
1832-01-01,NH,Samuel Dinsmoor,Democratic
1832-01-01,NJ,Samuel Lewis Southard,Whig
1832-01-01,NY,Enos Thompson Throop,Jeffersonian-Republican
1832-01-01,NC,David Lowry Swain,Whig
1832-01-01,OH,Robert Lucas,Democratic
1832-01-01,PA,George Wolf,"Democratic-Republican (Jeffersonian Democrat, or ""Family Party"")"
1832-01-01,RI,Lemuel Hastings Arnold,NA
1832-01-01,SC,Robert Young Hayne,Democrat
1832-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1832-01-01,VT,William A. Palmer,Anti-Masonic
1832-01-01,VA,John Buchanan Floyd,Democrat
1831-01-01,AL,John Gayle,Democrat
1831-01-01,CT,John Samuel Peters,National-Republican
1831-01-01,DE,David Hazzard,Democratic-Republican
1831-01-01,GA,Wilson Lumpkin,Union Democrat
1831-01-01,IL,John Reynolds,Democrat
1831-01-01,IN,Noah Noble,Whig
1831-01-01,KY,Thomas Metcalfe,Whig
1831-01-01,LA,Andre Bienvenu Roman,Whig
1831-01-01,ME,Samuel Emerson Smith,Democratic-Republican
1831-01-01,MD,George Howard,Whig
1831-01-01,MA,Levi Lincoln,Adams Republican
1831-01-01,MS,Gerard Chittocque Brandon,NA
1831-01-01,MO,John Miller,Democratic
1831-01-01,NH,Samuel Dinsmoor,Democratic
1831-01-01,NJ,Peter Dumont Vroom,Democratic
1831-01-01,NY,Enos Thompson Throop,Jeffersonian-Republican
1831-01-01,NC,Montfort Stokes,Democratic
1831-01-01,OH,Duncan McArthur,National Republican
1831-01-01,PA,George Wolf,"Democratic-Republican (Jeffersonian Democrat, or ""Family Party"")"
1831-01-01,RI,Lemuel Hastings Arnold,NA
1831-01-01,SC,James Jr. Hamilton,Democrat
1831-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1831-01-01,VT,William A. Palmer,Anti-Masonic
1831-01-01,VA,John Buchanan Floyd,Democrat
1830-01-01,AL,Gabriel Moore,Jackson Democrat
1830-01-01,CT,Gideon Tomlinson,Jeffersonian Republican
1830-01-01,DE,David Hazzard,Democratic-Republican
1830-01-01,GA,George Rockingham Gilmer,Democrat-Whig
1830-01-01,IL,John Reynolds,Democrat
1830-01-01,IN,James Brown Ray,Democratic-Republican
1830-01-01,KY,Thomas Metcalfe,Whig
1830-01-01,LA,Jacques Dupre,Jeffersonian Republican
1830-01-01,ME,Jonathan Glidden Hunton,National-Republican
1830-01-01,MD,Thomas King Carroll,Democrat
1830-01-01,MA,Levi Lincoln,Adams Republican
1830-01-01,MS,Gerard Chittocque Brandon,NA
1830-01-01,MO,John Miller,Democratic
1830-01-01,NH,Matthew Harvey,Democratic
1830-01-01,NJ,Peter Dumont Vroom,Democratic
1830-01-01,NY,Enos Thompson Throop,Jeffersonian-Republican
1830-01-01,NC,Montfort Stokes,Democratic
1830-01-01,OH,Duncan McArthur,National Republican
1830-01-01,PA,George Wolf,"Democratic-Republican (Jeffersonian Democrat, or ""Family Party"")"
1830-01-01,RI,James Fenner,F-R; Whig
1830-01-01,SC,James Jr. Hamilton,Democrat
1830-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1830-01-01,VT,Samuel C. Crafts,Whig
1830-01-01,VA,John Buchanan Floyd,Democrat
1829-01-01,AL,Gabriel Moore,Jackson Democrat
1829-01-01,CT,Gideon Tomlinson,Jeffersonian Republican
1829-01-01,DE,Charles Polk,Federalist
1829-01-01,GA,George Rockingham Gilmer,Democrat-Whig
1829-01-01,IL,Ninian Edwards,Democratic-Republican
1829-01-01,IN,James Brown Ray,Democratic-Republican
1829-01-01,KY,Thomas Metcalfe,Whig
1829-01-01,LA,Armand Beauvais,Jeffersonian Republican
1829-01-01,ME,Nathan Cutler,Democratic-Republican
1829-01-01,MD,Daniel Martin,Whig
1829-01-01,MA,Levi Lincoln,Adams Republican
1829-01-01,MS,Gerard Chittocque Brandon,NA
1829-01-01,MO,John Miller,Democratic
1829-01-01,NH,Benjamin Pierce,Democratic-Republican
1829-01-01,NJ,Peter Dumont Vroom,Democratic
1829-01-01,NY,Enos Thompson Throop,Jeffersonian-Republican
1829-01-01,NC,John Owen,Democratic
1829-01-01,OH,Allen Trimble,Democratic-Republican
1829-01-01,PA,George Wolf,"Democratic-Republican (Jeffersonian Democrat, or ""Family Party"")"
1829-01-01,RI,James Fenner,F-R; Whig
1829-01-01,SC,Stephen Decatur Miller,Democrat
1829-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1829-01-01,VT,Samuel C. Crafts,Whig
1829-01-01,VA,William Branch Giles,Anti-Federalist
1828-01-01,AL,John Murphy,Jackson Democrat
1828-01-01,CT,Gideon Tomlinson,Jeffersonian Republican
1828-01-01,DE,Charles Polk,Federalist
1828-01-01,GA,John Forsyth,Democratic-Republican
1828-01-01,IL,Ninian Edwards,Democratic-Republican
1828-01-01,IN,James Brown Ray,Democratic-Republican
1828-01-01,KY,Thomas Metcalfe,Whig
1828-01-01,LA,Pierre Auguste Charles Bourguignon Derbigny,Jeffersonian Republican
1828-01-01,ME,Enoch Lincoln,Democratic-Republican
1828-01-01,MD,Joseph Kent,Federalist; Democratic-Republican; National Republican
1828-01-01,MA,Levi Lincoln,Adams Republican
1828-01-01,MS,Gerard Chittocque Brandon,NA
1828-01-01,MO,John Miller,Democratic
1828-01-01,NH,John Bell,National Republican
1828-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1828-01-01,NY,Nathaniel Pitcher,Democratic-Republican
1828-01-01,NC,John Owen,Democratic
1828-01-01,OH,Allen Trimble,Democratic-Republican
1828-01-01,PA,John Andrew Shulze,Democratic-Republican (Jeffersonian Democrat)
1828-01-01,RI,James Fenner,F-R; Whig
1828-01-01,SC,Stephen Decatur Miller,Democrat
1828-01-01,TN,Samuel Houston,Democratic-Republican
1828-01-01,VT,Samuel C. Crafts,Whig
1828-01-01,VA,William Branch Giles,Anti-Federalist
1827-01-01,AL,John Murphy,Jackson Democrat
1827-01-01,CT,Gideon Tomlinson,Jeffersonian Republican
1827-01-01,DE,Charles Polk,Federalist
1827-01-01,GA,John Forsyth,Democratic-Republican
1827-01-01,IL,Ninian Edwards,Democratic-Republican
1827-01-01,IN,James Brown Ray,Democratic-Republican
1827-01-01,KY,Joseph Desha,Jeffersonian Republican
1827-01-01,LA,Henry S. Johnson,Jeffersonian Republican
1827-01-01,ME,Enoch Lincoln,Democratic-Republican
1827-01-01,MD,Joseph Kent,Federalist; Democratic-Republican; National Republican
1827-01-01,MA,Levi Lincoln,Adams Republican
1827-01-01,MS,Gerard Chittocque Brandon,NA
1827-01-01,MO,John Miller,Democratic
1827-01-01,NH,Benjamin Pierce,Democratic-Republican
1827-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1827-01-01,NY,Dewitt Clinton,Democratic-Republican
1827-01-01,NC,James Iredell,Democratic-Republican
1827-01-01,OH,Allen Trimble,Democratic-Republican
1827-01-01,PA,John Andrew Shulze,Democratic-Republican (Jeffersonian Democrat)
1827-01-01,RI,James Fenner,F-R; Whig
1827-01-01,SC,John Taylor,Democratic-Republican
1827-01-01,TN,Samuel Houston,Democratic-Republican
1827-01-01,VT,Ezra Butler,Democrat
1827-01-01,VA,William Branch Giles,Anti-Federalist
1826-01-01,AL,John Murphy,Jackson Democrat
1826-01-01,CT,Oliver Wolcott,Jeffersonian Republican
1826-01-01,DE,Samuel Paynter,Federalist
1826-01-01,GA,George Michael Troup,Democratic-Republican
1826-01-01,IL,Ninian Edwards,Democratic-Republican
1826-01-01,IN,James Brown Ray,Democratic-Republican
1826-01-01,KY,Joseph Desha,Jeffersonian Republican
1826-01-01,LA,Henry S. Johnson,Jeffersonian Republican
1826-01-01,ME,Albion Keith Parris,Democratic-Republican
1826-01-01,MD,Joseph Kent,Federalist; Democratic-Republican; National Republican
1826-01-01,MA,Levi Lincoln,Adams Republican
1826-01-01,MS,Gerard Chittocque Brandon,NA
1826-01-01,MO,John Miller,Democratic
1826-01-01,NH,David Lawrence Morril,Democratic-Republican
1826-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1826-01-01,NY,Dewitt Clinton,Democratic-Republican
1826-01-01,NC,Hutchins Gordon Burton,Federalist
1826-01-01,OH,Allen Trimble,Democratic-Republican
1826-01-01,PA,John Andrew Shulze,Democratic-Republican (Jeffersonian Democrat)
1826-01-01,RI,James Fenner,F-R; Whig
1826-01-01,SC,John Taylor,Democratic-Republican
1826-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1826-01-01,VT,Ezra Butler,Democrat
1826-01-01,VA,John Tyler,Democratic-Republican
1825-01-01,AL,John Murphy,Jackson Democrat
1825-01-01,CT,Oliver Wolcott,Jeffersonian Republican
1825-01-01,DE,Samuel Paynter,Federalist
1825-01-01,GA,George Michael Troup,Democratic-Republican
1825-01-01,IL,Edward Coles,Democratic-Republican
1825-01-01,IN,James Brown Ray,Democratic-Republican
1825-01-01,KY,Joseph Desha,Jeffersonian Republican
1825-01-01,LA,Henry S. Johnson,Jeffersonian Republican
1825-01-01,ME,Albion Keith Parris,Democratic-Republican
1825-01-01,MD,Samuel Stevens,Democrat
1825-01-01,MA,Levi Lincoln,Adams Republican
1825-01-01,MS,Gerard Chittocque Brandon,NA
1825-01-01,MO,Abraham J. Williams,Democratic (then Jeffersonian Republican)
1825-01-01,NH,David Lawrence Morril,Democratic-Republican
1825-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1825-01-01,NY,Dewitt Clinton,Democratic-Republican
1825-01-01,NC,Hutchins Gordon Burton,Federalist
1825-01-01,OH,Jeremiah Morrow,Democratic-Republican
1825-01-01,PA,John Andrew Shulze,Democratic-Republican (Jeffersonian Democrat)
1825-01-01,RI,James Fenner,F-R; Whig
1825-01-01,SC,Richard Irvine Manning,Democratic-Republican
1825-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1825-01-01,VT,Cornelius P. Van Ness,Democratic-Republican
1825-01-01,VA,John Tyler,Democratic-Republican
1824-01-01,AL,Israel Pickens,Democratic-Republican
1824-01-01,CT,Oliver Wolcott,Jeffersonian Republican
1824-01-01,DE,Samuel Paynter,Federalist
1824-01-01,GA,George Michael Troup,Democratic-Republican
1824-01-01,IL,Edward Coles,Democratic-Republican
1824-01-01,IN,William Hendricks,Democratic-Republican
1824-01-01,KY,Joseph Desha,Jeffersonian Republican
1824-01-01,LA,Henry S. Johnson,Jeffersonian Republican
1824-01-01,ME,Albion Keith Parris,Democratic-Republican
1824-01-01,MD,Samuel Stevens,Democrat
1824-01-01,MA,William Eustis,Democratic-Republican
1824-01-01,MS,Walter Leake,Democratic
1824-01-01,MO,Frederick Bates,Democratic
1824-01-01,NH,David Lawrence Morril,Democratic-Republican
1824-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1824-01-01,NY,Joseph Christopher Yates,Jeffersonian Republican
1824-01-01,NC,Hutchins Gordon Burton,Federalist
1824-01-01,OH,Jeremiah Morrow,Democratic-Republican
1824-01-01,PA,John Andrew Shulze,Democratic-Republican (Jeffersonian Democrat)
1824-01-01,RI,James Fenner,F-R; Whig
1824-01-01,SC,Richard Irvine Manning,Democratic-Republican
1824-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1824-01-01,VT,Cornelius P. Van Ness,Democratic-Republican
1824-01-01,VA,James Pleasants,Democrat-Republican
1823-01-01,AL,Israel Pickens,Democratic-Republican
1823-01-01,CT,Oliver Wolcott,Jeffersonian Republican
1823-01-01,DE,Charles Thomas,Democratic-Republican
1823-01-01,GA,George Michael Troup,Democratic-Republican
1823-01-01,IL,Edward Coles,Democratic-Republican
1823-01-01,IN,William Hendricks,Democratic-Republican
1823-01-01,KY,John Adair,Democratic-Republican
1823-01-01,LA,Thomas Bolling Robertson,Jeffersonian Republican
1823-01-01,ME,Albion Keith Parris,Democratic-Republican
1823-01-01,MD,Samuel Stevens,Democrat
1823-01-01,MA,William Eustis,Democratic-Republican
1823-01-01,MS,Walter Leake,Democratic
1823-01-01,MO,Alexander McNair,Democratic
1823-01-01,NH,Levi Woodbury,Democratic-Republican
1823-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1823-01-01,NY,Joseph Christopher Yates,Jeffersonian Republican
1823-01-01,NC,Gabriel Holmes,Democratic-Republican
1823-01-01,OH,Jeremiah Morrow,Democratic-Republican
1823-01-01,PA,John Andrew Shulze,Democratic-Republican (Jeffersonian Democrat)
1823-01-01,RI,William Channing Gibbs,NA
1823-01-01,SC,John Lyde Wilson,Democratic-Republican
1823-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1823-01-01,VT,Cornelius P. Van Ness,Democratic-Republican
1823-01-01,VA,James Pleasants,Democrat-Republican
1822-01-01,AL,Israel Pickens,Democratic-Republican
1822-01-01,CT,Oliver Wolcott,Jeffersonian Republican
1822-01-01,DE,Caleb Rodney,Federalist
1822-01-01,GA,John Clark,Democratic-Republican
1822-01-01,IL,Edward Coles,Democratic-Republican
1822-01-01,IN,William Hendricks,Democratic-Republican
1822-01-01,KY,John Adair,Democratic-Republican
1822-01-01,LA,Thomas Bolling Robertson,Jeffersonian Republican
1822-01-01,ME,Albion Keith Parris,Democratic-Republican
1822-01-01,MD,Samuel Stevens,Democrat
1822-01-01,MA,John Brooks,Federalist
1822-01-01,MS,Walter Leake,Democratic
1822-01-01,MO,Alexander McNair,Democratic
1822-01-01,NH,Samuel Bell,Democratic-Republican
1822-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1822-01-01,NY,Dewitt Clinton,Democratic-Republican
1822-01-01,NC,Gabriel Holmes,Democratic-Republican
1822-01-01,OH,Jeremiah Morrow,Democratic-Republican
1822-01-01,PA,Joseph Hiester,Democratic-Republican (Old School Jeffersonian Democrat)
1822-01-01,RI,William Channing Gibbs,NA
1822-01-01,SC,John Lyde Wilson,Democratic-Republican
1822-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1822-01-01,VT,Richard Skinner,Democratic-Republican
1822-01-01,VA,James Pleasants,Democrat-Republican
1821-01-01,AL,Israel Pickens,Democratic-Republican
1821-01-01,CT,Oliver Wolcott,Jeffersonian Republican
1821-01-01,DE,John Collins,Democratic-Republican
1821-01-01,GA,John Clark,Democratic-Republican
1821-01-01,IL,Shadrack Bond,Democratic-Republican
1821-01-01,IN,Jonathan Jennings,Democratic-Republican
1821-01-01,KY,John Adair,Democratic-Republican
1821-01-01,LA,Thomas Bolling Robertson,Jeffersonian Republican
1821-01-01,ME,Benjamin Ames,Democratic-Republican
1821-01-01,MD,Samuel Sprigg,"Democrat, Whig"
1821-01-01,MA,John Brooks,Federalist
1821-01-01,MS,George Poindexter,Democratic
1821-01-01,MO,Alexander McNair,Democratic
1821-01-01,NH,Samuel Bell,Democratic-Republican
1821-01-01,NJ,Issac Halsted Williamson,Jeffersonian-Republican
1821-01-01,NY,Dewitt Clinton,Democratic-Republican
1821-01-01,NC,Gabriel Holmes,Democratic-Republican
1821-01-01,OH,Ethan Allen Brown,Democratic-Republican
1821-01-01,PA,Joseph Hiester,Democratic-Republican (Old School Jeffersonian Democrat)
1821-01-01,RI,William Channing Gibbs,NA
1821-01-01,SC,Thomas Bennett,Democratic-Republican
1821-01-01,TN,William Carroll,Democratic-Republican (first three terms); Democrat (last three terms)
1821-01-01,VT,Richard Skinner,Democratic-Republican
1821-01-01,VA,Thomas Mann Randolph,Democratic-Republican
